buying,maint,doors,persons,lug_boot,safety,class
HIGH,vhigh,3,more,big,med,unacc
LOW,med,5more,4,small,med,ACC
low,low,4,more,big,med,good
low,high,4,4,SMALL,med,acc
low,LOW,5more,4,small,HIGH,good
,0,0,NaN,NaN,0,
med,high,5MORE,more,med,MED,ACC
low,high,4,more,MED,low,unacc
MED,vhigh,3,more,big,med,acc
med,vhigh,3,4,MED,high,acc
low,HIGH,2,2,small,high,unacc
vhigh,vhigh,4,4,small,LOW,unacc
low,high,4,more,big,med,acc
0,NaN,NaN,0,NaN,NaN,
high,high,2,2,small,HIGH,unacc
low,high,3,4,MED,high,ACC
low,med,5more,more,small,med,acc
HIGH,vhigh,3,more,SMALL,high,UNACC
0,NaN,0,0,,,
med,LOW,4,more,SMALL,low,unacc
VHIGH,low,4,4,BIG,HIGH,acc
med,VHIGH,4,MORE,BIG,med,ACC
VHIGH,vhigh,4,MORE,small,med,unacc
vhigh,high,5MORE,2,med,high,unacc
low,low,2,4,big,low,UNACC
low,HIGH,4,4,small,low,UNACC
LOW,low,5more,4,med,HIGH,vgood
NaN,,NaN,NaN,0,,
0,0,NaN,,,0,
,,,,,,
high,VHIGH,2,4,med,low,UNACC
low,high,3,2,small,med,UNACC
med,VHIGH,5more,MORE,MED,med,ACC
high,low,3,2,big,MED,UNACC
med,high,2,4,MED,low,UNACC
HIGH,vhigh,3,2,small,med,unacc
med,LOW,3,4,med,low,unacc
MED,HIGH,5more,4,big,low,unacc
med,med,2,2,med,high,unacc
low,HIGH,5more,2,big,high,unacc
high,HIGH,4,more,SMALL,low,unacc
vhigh,high,3,2,small,low,unacc
low,high,3,4,med,low,unacc
high,vhigh,2,2,MED,high,unacc
0,NaN,,NaN,,,
vhigh,low,4,2,med,med,unacc
VHIGH,med,2,2,MED,high,unacc
MED,high,4,2,big,high,UNACC
VHIGH,high,3,2,big,med,unacc
low,vhigh,3,2,small,high,unacc
vhigh,high,2,2,small,high,UNACC
,NaN,0,NaN,,NaN,NaN
VHIGH,vhigh,2,more,MED,med,unacc
low,low,4,2,small,HIGH,UNACC
,,,,,,
high,LOW,3,4,BIG,high,acc
high,HIGH,5more,MORE,big,med,acc
high,HIGH,5more,4,MED,high,acc
vhigh,LOW,5more,more,BIG,low,unacc
med,med,5more,2,big,LOW,unacc
0,0,,0,,NaN,0
low,med,5MORE,4,big,med,GOOD
MED,vhigh,5more,4,small,low,unacc
med,med,5more,MORE,SMALL,low,unacc
high,low,4,4,SMALL,med,unacc
high,LOW,5more,2,MED,high,UNACC
NaN,NaN,,0,NaN,0,NaN
high,high,3,MORE,SMALL,HIGH,ACC
low,vhigh,4,2,big,MED,unacc
NaN,0,0,0,0,,0
med,low,4,more,med,low,unacc
,,,,,,
LOW,med,2,4,big,med,GOOD
0,,NaN,,,0,NaN
vhigh,vhigh,5more,4,big,med,unacc
vhigh,VHIGH,4,2,small,high,unacc
VHIGH,high,4,2,med,low,unacc
med,HIGH,2,4,med,HIGH,acc
MED,VHIGH,4,2,big,high,unacc
low,HIGH,4,2,big,high,UNACC
high,low,4,more,BIG,med,acc
MED,vhigh,4,4,small,low,unacc
vhigh,MED,2,4,med,HIGH,acc
high,high,3,2,small,med,unacc
vhigh,med,5MORE,more,small,med,unacc
MED,VHIGH,2,2,big,med,unacc
vhigh,high,5more,2,SMALL,low,UNACC
med,low,4,4,med,low,unacc
high,med,5more,4,small,LOW,unacc
med,HIGH,3,4,BIG,high,acc
VHIGH,high,2,MORE,MED,med,unacc
med,HIGH,2,more,small,HIGH,UNACC
med,med,3,4,BIG,low,UNACC
low,low,2,4,big,high,vgood
MED,vhigh,4,2,big,med,unacc
vhigh,med,3,more,small,high,acc
MED,vhigh,4,more,small,high,acc
vhigh,low,5more,4,med,LOW,unacc
,,,,,,
low,high,5MORE,4,MED,low,UNACC
low,low,5more,2,small,high,unacc
high,VHIGH,5more,4,med,HIGH,UNACC
HIGH,vhigh,5more,4,MED,LOW,unacc
vhigh,med,2,2,big,MED,UNACC
med,MED,3,4,med,LOW,unacc
med,low,2,4,med,med,acc
HIGH,low,5MORE,4,small,med,unacc
,,,,,,
vhigh,med,4,more,small,high,acc
high,vhigh,3,MORE,SMALL,LOW,unacc
,,,,,,
0,NaN,,NaN,,NaN,NaN
low,med,3,2,small,low,unacc
,0,,NaN,NaN,0,
med,med,4,4,SMALL,high,acc
med,LOW,4,4,big,low,unacc
low,low,2,4,med,med,acc
med,low,2,more,small,high,unacc
med,HIGH,3,2,MED,high,unacc
vhigh,low,5MORE,more,SMALL,low,unacc
,,0,0,NaN,NaN,0
vhigh,vhigh,3,2,MED,low,unacc
low,high,3,4,med,MED,acc
low,low,5MORE,4,MED,med,GOOD
,NaN,NaN,0,NaN,,0
med,MED,3,more,BIG,LOW,UNACC
,,,,,,
MED,high,5more,more,SMALL,HIGH,ACC
,,,,,,
vhigh,med,2,more,small,HIGH,unacc
med,high,2,4,med,med,UNACC
high,med,2,2,big,low,unacc
low,med,2,2,small,high,UNACC
med,HIGH,4,more,med,med,acc
med,low,2,more,med,med,acc
low,high,5more,MORE,big,LOW,UNACC
low,VHIGH,5more,more,SMALL,med,unacc
vhigh,low,5more,more,med,med,acc
MED,high,5more,4,MED,high,acc
MED,HIGH,4,more,big,MED,acc
MED,low,4,4,big,HIGH,VGOOD
high,med,3,2,med,high,UNACC
low,med,5more,2,big,low,unacc
vhigh,MED,4,more,MED,high,acc
LOW,vhigh,5more,2,big,MED,UNACC
VHIGH,HIGH,3,more,SMALL,low,unacc
MED,med,4,2,small,med,unacc
low,vhigh,5MORE,2,small,high,UNACC
vhigh,med,3,2,BIG,HIGH,unacc
vhigh,vhigh,5more,4,small,low,unacc
med,low,5more,more,med,high,vgood
low,low,4,more,small,med,acc
VHIGH,low,4,more,med,HIGH,acc
vhigh,low,2,2,small,low,unacc
med,high,4,2,big,low,unacc
vhigh,vhigh,2,4,MED,med,unacc
,,,,,,
MED,low,5more,2,small,med,UNACC
VHIGH,low,5more,more,small,med,unacc
low,LOW,4,2,BIG,LOW,unacc
med,high,2,2,small,LOW,unacc
MED,VHIGH,4,2,small,med,UNACC
vhigh,vhigh,4,MORE,med,MED,unacc
VHIGH,high,2,more,big,low,unacc
vhigh,high,5more,2,med,med,unacc
med,MED,2,more,big,MED,acc
vhigh,MED,3,4,BIG,high,acc
VHIGH,high,4,4,SMALL,low,UNACC
,,0,,0,NaN,
NaN,0,0,,NaN,0,0
low,high,3,more,small,low,unacc
med,vhigh,3,2,big,low,UNACC
vhigh,vhigh,2,2,small,high,unacc
,,,,,,
LOW,vhigh,2,2,small,med,UNACC
med,MED,2,more,BIG,low,unacc
vhigh,high,2,2,BIG,HIGH,unacc
high,med,5more,more,BIG,med,acc
low,med,3,4,small,low,unacc
vhigh,low,3,2,med,MED,unacc
LOW,low,2,2,small,MED,UNACC
high,MED,3,more,med,high,acc
HIGH,low,5more,MORE,SMALL,low,unacc
low,low,3,MORE,SMALL,high,good
high,MED,5MORE,more,small,med,unacc
med,med,2,4,small,MED,acc
vhigh,vhigh,3,more,small,med,unacc
LOW,low,4,MORE,SMALL,low,unacc
high,med,5MORE,more,med,LOW,unacc
VHIGH,high,2,more,small,low,unacc
MED,med,5more,4,small,high,acc
vhigh,med,5more,more,SMALL,high,ACC
med,med,5more,more,MED,high,vgood
vhigh,vhigh,4,2,med,med,unacc
vhigh,vhigh,2,4,small,low,unacc
med,vhigh,4,2,med,low,unacc
low,high,4,2,med,LOW,UNACC
vhigh,HIGH,3,4,big,MED,UNACC
med,HIGH,3,2,med,low,unacc
vhigh,LOW,4,2,med,low,unacc
low,high,2,4,small,med,acc
NaN,NaN,,NaN,0,NaN,
low,MED,4,4,small,high,good
high,med,5more,2,big,high,unacc
low,high,4,4,big,low,UNACC
med,vhigh,2,2,med,MED,unacc
low,HIGH,2,more,big,MED,ACC
,,,,,,
low,vhigh,4,4,med,low,UNACC
NaN,0,NaN,NaN,,NaN,
HIGH,MED,2,4,med,HIGH,acc
vhigh,high,2,2,small,low,unacc
med,low,3,MORE,small,low,unacc
vhigh,high,2,2,med,high,UNACC
vhigh,HIGH,2,4,big,LOW,unacc
0,0,,,0,NaN,
NaN,0,,NaN,NaN,,NaN
med,med,5more,2,small,low,unacc
high,high,4,4,BIG,low,unacc
med,vhigh,2,MORE,small,low,unacc
med,med,3,4,BIG,low,UNACC
NaN,0,NaN,0,,0,NaN
med,VHIGH,5more,4,SMALL,high,ACC
med,high,4,more,small,low,unacc
vhigh,med,2,more,big,MED,acc
HIGH,high,3,more,med,low,unacc
,,,,,,
LOW,MED,5more,more,big,high,VGOOD
MED,MED,3,4,big,HIGH,vgood
vhigh,VHIGH,5more,4,med,med,UNACC
med,med,4,more,MED,high,vgood
VHIGH,vhigh,2,2,med,low,unacc
high,high,3,more,small,low,UNACC
med,HIGH,2,2,big,med,unacc
low,VHIGH,5MORE,more,med,med,acc
high,low,4,4,big,LOW,UNACC
med,MED,3,more,BIG,HIGH,VGOOD
HIGH,LOW,4,more,MED,high,acc
vhigh,low,3,more,med,HIGH,ACC
vhigh,MED,5MORE,4,small,med,unacc
low,med,2,more,BIG,med,good
low,MED,3,2,small,med,unacc
LOW,vhigh,3,4,med,high,acc
vhigh,high,2,more,small,high,UNACC
MED,high,4,more,med,HIGH,acc
med,vhigh,2,2,med,low,unacc
VHIGH,high,3,more,big,low,unacc
med,med,3,more,small,high,acc
vhigh,HIGH,5MORE,2,SMALL,high,unacc
MED,high,2,more,med,low,unacc
vhigh,med,3,4,small,LOW,unacc
high,VHIGH,4,2,med,low,unacc
,,,,,,
HIGH,vhigh,4,4,med,high,unacc
low,VHIGH,3,4,med,low,unacc
MED,med,5more,4,SMALL,med,acc
vhigh,low,5more,2,BIG,HIGH,UNACC
LOW,MED,5MORE,2,small,low,UNACC
med,vhigh,5more,2,med,HIGH,unacc
med,med,2,2,big,high,UNACC
LOW,VHIGH,4,4,small,HIGH,acc
low,high,3,more,big,high,vgood
low,high,3,2,big,high,unacc
low,HIGH,2,more,med,med,acc
vhigh,med,5more,more,big,high,acc
high,med,2,2,small,MED,unacc
high,med,3,more,small,LOW,UNACC
NaN,NaN,NaN,NaN,NaN,NaN,
med,MED,4,4,BIG,low,UNACC
vhigh,med,5more,4,big,HIGH,ACC
,,,,,,
low,vhigh,4,more,small,HIGH,acc
MED,vhigh,3,2,SMALL,low,unacc
,,,,,,
vhigh,HIGH,5more,4,med,high,unacc
HIGH,vhigh,5more,more,big,high,unacc
LOW,med,4,more,med,LOW,unacc
high,LOW,5MORE,2,big,low,UNACC
LOW,low,2,2,med,high,unacc
med,MED,2,more,small,low,UNACC
med,low,2,2,med,MED,UNACC
,,,,,,
vhigh,low,2,more,med,high,acc
low,vhigh,5MORE,4,small,high,acc
,,,,,,
med,MED,5more,more,small,high,ACC
vhigh,vhigh,5more,more,med,high,unacc
med,high,2,more,SMALL,low,UNACC
vhigh,high,3,2,small,MED,unacc
vhigh,MED,2,2,med,med,unacc
high,high,5more,4,big,med,acc
vhigh,med,3,4,big,low,UNACC
med,MED,3,2,small,low,unacc
HIGH,VHIGH,2,4,big,LOW,unacc
med,VHIGH,3,MORE,small,low,UNACC
low,high,4,4,big,med,acc
low,low,5more,2,med,low,unacc
vhigh,vhigh,4,more,BIG,med,unacc
MED,VHIGH,5more,more,small,HIGH,acc
low,vhigh,2,2,MED,low,unacc
VHIGH,HIGH,2,more,MED,high,unacc
vhigh,LOW,5more,more,med,high,ACC
MED,low,5more,4,med,high,vgood
high,VHIGH,3,2,med,HIGH,unacc
high,vhigh,3,more,MED,low,unacc
high,high,3,4,med,med,unacc
low,med,5more,4,med,HIGH,VGOOD
low,HIGH,5more,2,big,LOW,UNACC
med,high,4,4,BIG,low,unacc
0,0,0,,0,,NaN
,0,,0,,,NaN
vhigh,med,2,4,BIG,MED,acc
NaN,,,NaN,NaN,0,NaN
0,,0,0,NaN,NaN,0
NaN,NaN,0,0,,0,NaN
VHIGH,med,3,4,big,MED,ACC
high,vhigh,3,4,big,high,unacc
HIGH,low,5more,4,med,med,acc
0,NaN,,NaN,,0,0
high,MED,2,2,med,high,unacc
LOW,low,3,more,small,med,acc
low,MED,4,4,med,high,VGOOD
med,MED,4,2,small,low,UNACC
low,med,2,2,MED,low,unacc
med,med,3,2,med,high,unacc
VHIGH,med,2,4,SMALL,med,unacc
med,VHIGH,5MORE,4,MED,med,acc
med,high,3,2,med,med,unacc
med,high,5more,2,med,LOW,unacc
med,med,5MORE,MORE,big,high,VGOOD
LOW,med,3,4,small,high,good
HIGH,low,2,4,med,low,UNACC
,NaN,0,0,NaN,,
high,med,5MORE,4,MED,HIGH,ACC
high,med,4,4,med,HIGH,ACC
vhigh,high,3,2,SMALL,HIGH,UNACC
low,med,3,more,big,med,good
high,med,4,2,big,med,UNACC
vhigh,vhigh,3,2,med,med,unacc
vhigh,vhigh,3,more,small,med,unacc
,,,,0,0,NaN
low,high,3,4,big,low,unacc
med,low,5MORE,4,small,low,unacc
high,low,4,2,med,med,unacc
HIGH,HIGH,5more,more,small,med,UNACC
med,vhigh,2,2,small,med,unacc
VHIGH,low,4,more,small,high,acc
med,LOW,5more,4,big,low,unacc
med,low,4,more,big,low,UNACC
high,med,4,2,med,high,unacc
med,HIGH,3,2,big,low,unacc
VHIGH,vhigh,4,4,big,high,unacc
,,,,,,
med,vhigh,4,4,BIG,HIGH,acc
med,low,2,2,big,low,unacc
VHIGH,vhigh,5more,2,BIG,high,unacc
vhigh,vhigh,5more,2,SMALL,med,unacc
low,vhigh,5MORE,4,big,low,unacc
low,med,3,more,small,med,ACC
NaN,NaN,,NaN,0,0,0
high,HIGH,5more,more,small,low,unacc
med,low,4,2,small,high,UNACC
low,low,5MORE,more,big,MED,good
low,low,2,more,small,low,UNACC
low,vhigh,2,2,small,high,unacc
LOW,HIGH,4,2,med,MED,unacc
,,,,,,
,,,,,,
high,vhigh,4,4,small,med,UNACC
,,,,,,
NaN,NaN,NaN,,NaN,0,
HIGH,VHIGH,2,4,med,high,unacc
med,VHIGH,2,more,med,high,acc
LOW,high,5more,2,small,high,unacc
high,low,2,2,BIG,LOW,unacc
0,,0,0,NaN,NaN,0
0,,NaN,0,NaN,NaN,0
vhigh,HIGH,5MORE,more,MED,HIGH,unacc
vhigh,low,4,more,small,med,UNACC
NaN,,0,0,NaN,NaN,NaN
med,vhigh,5more,more,med,LOW,unacc
vhigh,MED,2,2,small,low,unacc
MED,med,5more,more,big,LOW,unacc
low,LOW,3,4,SMALL,med,acc
vhigh,VHIGH,2,2,med,MED,unacc
HIGH,low,3,2,big,low,unacc
low,med,5more,2,SMALL,high,unacc
vhigh,vhigh,2,4,med,high,unacc
low,HIGH,5more,2,big,med,unacc
vhigh,med,2,4,BIG,LOW,unacc
vhigh,VHIGH,4,more,BIG,high,unacc
low,vhigh,2,4,BIG,low,unacc
LOW,low,5MORE,more,med,low,UNACC
HIGH,med,4,2,BIG,HIGH,unacc
MED,low,4,2,med,med,unacc
med,high,5more,more,MED,HIGH,acc
low,high,5more,4,small,med,acc
HIGH,LOW,5more,more,med,med,acc
HIGH,MED,2,more,med,low,unacc
vhigh,low,2,more,SMALL,med,unacc
low,med,3,more,med,low,unacc
med,VHIGH,3,4,SMALL,low,unacc
low,vhigh,3,4,med,med,unacc
LOW,high,3,2,SMALL,HIGH,unacc
VHIGH,high,4,4,small,med,unacc
low,med,4,2,small,med,unacc
med,high,4,2,med,med,unacc
vhigh,vhigh,3,4,big,low,unacc
HIGH,HIGH,4,more,big,HIGH,acc
low,low,4,more,med,high,vgood
vhigh,vhigh,5more,more,big,med,UNACC
MED,med,3,2,med,MED,unacc
vhigh,vhigh,5more,2,MED,low,unacc
high,low,5more,2,med,MED,unacc
NaN,,0,,0,0,NaN
vhigh,MED,4,2,BIG,med,unacc
high,MED,3,4,med,high,acc
med,low,3,2,small,low,unacc
,,,,,,
low,HIGH,3,more,BIG,med,acc
vhigh,low,4,more,big,high,acc
low,HIGH,5MORE,4,big,HIGH,VGOOD
vhigh,LOW,5MORE,2,BIG,low,UNACC
med,low,3,more,SMALL,HIGH,GOOD
MED,LOW,2,more,med,HIGH,good
high,low,2,2,small,low,unacc
high,low,2,2,small,med,unacc
med,high,3,more,small,low,UNACC
high,med,3,4,big,low,UNACC
med,vhigh,3,2,big,high,unacc
vhigh,LOW,4,more,med,low,UNACC
vhigh,high,3,more,small,high,unacc
vhigh,high,4,2,big,low,unacc
low,HIGH,2,2,med,high,unacc
high,vhigh,2,4,small,low,UNACC
vhigh,med,4,4,big,low,unacc
vhigh,low,5more,2,med,low,unacc
med,low,5more,2,med,med,unacc
low,LOW,4,more,small,high,good
,0,,NaN,NaN,0,0
high,LOW,2,MORE,MED,med,unacc
vhigh,high,4,MORE,small,high,UNACC
low,vhigh,2,2,med,high,unacc
high,LOW,4,more,small,low,UNACC
low,low,3,more,med,med,GOOD
vhigh,high,4,2,med,high,unacc
high,low,5more,4,med,high,ACC
low,vhigh,4,2,small,low,unacc
0,0,0,0,0,NaN,
vhigh,LOW,2,2,SMALL,med,UNACC
,,,,,,
med,vhigh,3,more,med,LOW,unacc
low,VHIGH,5MORE,more,med,med,acc
vhigh,vhigh,2,2,small,LOW,unacc
high,MED,2,MORE,SMALL,LOW,unacc
LOW,high,3,4,SMALL,high,acc
low,low,4,4,big,LOW,unacc
high,vhigh,4,2,small,high,unacc
,,,,,,
HIGH,low,5more,2,big,high,unacc
med,vhigh,2,4,big,MED,acc
vhigh,high,3,2,med,med,unacc
LOW,vhigh,3,more,big,med,acc
vhigh,high,5more,2,BIG,high,UNACC
vhigh,high,2,4,small,MED,unacc
,,,,,,
high,med,4,MORE,med,low,UNACC
,0,NaN,0,NaN,0,0
low,vhigh,4,more,BIG,med,acc
VHIGH,LOW,4,4,BIG,low,unacc
med,low,3,more,big,high,vgood
0,NaN,0,,NaN,0,0
vhigh,med,3,more,small,low,UNACC
high,vhigh,2,more,SMALL,MED,unacc
MED,high,5more,MORE,big,MED,ACC
vhigh,VHIGH,5more,more,med,low,unacc
high,HIGH,3,2,MED,low,UNACC
